법령일련번호,법령명,법령구분,소관부처,시행일자
279681,건강검진기본법,법률,보건복지부,질병관리청,20260212
282389,건강검진기본법 시행규칙,보건복지부령,보건복지부,20260101
246241,건강검진기본법 시행령,대통령령,보건복지부,질병관리청,20221220
259283,건강기능식품에 관한 법률,법률,식품의약품안전처,20250103
270029,건강기능식품에 관한 법률 시행규칙,총리령,식품의약품안전처,20250319
267803,건강기능식품에 관한 법률 시행령,대통령령,식품의약품안전처,20250103
195219,건널목 개량촉진법,법률,국토교통부,20170726
234693,건설근로자의 고용개선 등에 관한 법률,법률,고용노동부,20220218
234965,건설기계 안전기준에 관한 규칙,국토교통부령,국토교통부,20230101
283763,건설기계관리법,법률,국토교통부,20260227
285023,건설기계관리법 시행규칙,국토교통부령,국토교통부,20260324
284659,건설기계관리법 시행령,대통령령,국토교통부,20260324
276921,건설기술 진흥법,법률,국토교통부,20251001
279455,건설기술 진흥법 시행규칙,국토교통부령,국토교통부,20251031
283649,건설기술 진흥법 시행령,대통령령,국토교통부,20260227
273435,건설산업기본법,법률,국토교통부,20251127
281245,건설산업기본법 시행령,대통령령,국토교통부,20260102
276695,건설폐기물의 재활용촉진에 관한 법률,법률,국토교통부,기후에너지환경부,20251001
278871,건설폐기물의 재활용촉진에 관한 법률 시행규칙,기후에너지환경부령,국토교통부,기후에너지환경부,20251001
278497,건설폐기물의 재활용촉진에 관한 법률 시행령,대통령령,국토교통부,기후에너지환경부,20251001
276923,건축기본법,법률,국토교통부,20251001
281247,건축기본법 시행령,대통령령,국토교통부,20260102
266691,건축물관리법,법률,국토교통부,20250604
271531,건축물관리법 시행규칙,국토교통부령,국토교통부,20250602
284661,건축물관리법 시행령,대통령령,국토교통부,20260324
273103,건축물대장의 기재 및 관리 등에 관한 규칙,국토교통부령,국토교통부,20250731
267091,건축물의 구조기준 등에 관한 규칙,국토교통부령,국토교통부,20241217
280065,건축물의 분양에 관한 법률,법률,국토교통부,20260403
236695,건축물의 분양에 관한 법률 시행규칙,국토교통부령,국토교통부,20211102
285171,건축물의 분양에 관한 법률 시행령,대통령령,국토교통부,20260403
279459,건축물의 설비기준 등에 관한 규칙,국토교통부령,국토교통부,20251031
279461,건축물의 피난ㆍ방화구조 등의 기준에 관한 규칙,국토교통부령,국토교통부,20251031
273437,건축법,법률,국토교통부,20260227
283727,건축법 시행규칙,국토교통부령,국토교통부,20260227
273503,건축법 시행령,대통령령,국토교통부,20260227
276927,건축사법,법률,국토교통부,20251001
243997,건축사법 시행령,대통령령,국토교통부,20220804
276929,건축서비스산업 진흥법,법률,국토교통부,20260102
270063,건축서비스산업 진흥법 시행령,대통령령,국토교통부,20260326
255305,검사와 사법경찰관의 상호협력과 일반적 수사준칙에 관한 규정,대통령령,법무부,20231101
121947,검사의 보수에 관한 법률,법률,법무부,20120117
285407,검사의 보수에 관한 법률 시행령,대통령령,법무부,20260407
166367,검사정원법,법률,법무부,20141231
271559,검사징계법,법률,법무부,20250610
260559,검역법,법률,질병관리청,20240521
271105,검역법 시행규칙,보건복지부령,질병관리청,20250719
262735,검역법 시행령,대통령령,질병관리청,20240521
262687,검찰압수물사무규칙,법무부령,법무부,20240517
242095,검찰청법,법률,법무부,20220910
265811,게임산업진흥에 관한 법률,법률,문화체육관광부,20251023
284663,게임산업진흥에 관한 법률 시행령,대통령령,문화체육관광부,20260324
277213,결핵예방법,법률,질병관리청,20251001
276873,결혼중개업의 관리에 관한 법률,법률,성평등가족부,20251001
276931,경관법,법률,국토교통부,20251001
253533,경륜ㆍ경정법,법률,문화체육관광부,20230808
198226,경범죄 처벌법,법률,경찰청,해양경찰청,20171024
183520,경비교도대 폐지에 따른 보상 등에 관한 법률,법률,법무부,20161130
268091,경비업법,법률,경찰청,20260108
261201,경영지도사 및 기술지도사에 관한 법률,법률,중소벤처기업부,20240319
280781,경제관계장관회의 규정,대통령령,재정경제부,20260102
276053,경제교육지원법,법률,재정경제부,20260102
276841,경제사회노동위원회법,법률,고용노동부,20260102
276055,경제안보를 위한 공급망 안정화 지원 기본법,법률,재정경제부,20260102
